"compo","m","turbulence","release","size","authority","i","ticks","compl.bu","ticks.at80perc.bu","ticks.at80perc.var","effica.bu","dircC.bu","propC.bu","effica.cum.bu","complete.cum.bu","dirCoupl.50perc.bu","inddirCoupl.50perc.bu","ic1st.bu","ic2nd.bu","ic3rd.bu","ic4th.bu","ic5th.bu","ic6th.bu","ic7th.bu","ic8th.bu","ic9th.bu","ic10th.bu","ic11th.bu","ic12th.bu","ic13th.bu","ic14th.bu","ic15th.bu","ic16th.bu","ic17th.bu","ic18th.bu","ic19th.bu","ic20th.bu","ticks.at80perc.td","effica.cum.td","complete.cum.td","compl.td","effica.td","propC.td","dircC.td","dirCoupl.50perc.td","inddirCoupl.50perc.td","ic1st.td","ic2nd.td","ic3rd.td","ic4th.td","ic5th.td","ic6th.td","ic7th.td","ic8th.td","ic9th.td","ic10th.td","ic11th.td","ic12th.td","ic13th.td","ic14th.td","ic15th.td","ic16th.td","ic17th.td","ic18th.td","ic19th.td","ic20th.td","complete.cum.diff","compl.diff","authority_direct","artifact_direct","authority_indirect","artifact_indirect"
"1",0.005,100,0,1,100,0,1000,1000,1,2.9,0.0909090909090909,0.502225,0.011668,0.011783,501.731299000001,999.0175,0.0229738233408036,0.0229738233408036,16.68,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.78,882.627773,954.8177,1,0.923741,0.015988,0.013926,0.0499429423611907,0.0527192374527555,39.26,13.4,4.65,1.72,0.58,0.2,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,44.1998000000001,0,0.013926,0.011668,0.015988,0.011783
"2",0.005,100,0,50,100,0,1000,1000,1,3.06,0.0771717171717172,0.504461,0.01,0.01,503.852815999999,998.795,0.023447042899571,0.023447042899571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.11,877.326644000002,954.5124,1,0.918203,0.01343,0.012677,0.0450280274102721,0.0456981817249776,26.77,6.07,1.22,0.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2826,0,0.012677,0.01,0.01343,0.01
"3",0.01,100,0,1,100,0,1000,1000,1,3.65,0.22979797979798,0.505992,0.013873,0.014595,505.240863,998.5031,0.0336104803459471,0.0336212032860072,38.73,6.71,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.63,857.760336999999,958.3021,1,0.894837,0.03491,0.017991,0.0599200217673114,0.0778243296669489,79.91,58.17,40.64,27.39,17.56,10.82,6.28,3.86,2.26,1.12,0.58,0.26,0.12,0.05,0.04,0.03,0.01,0,0,0,40.201,0,0.017991,0.013873,0.03491,0.014595
"4",0.01,100,0,50,100,0,1000,1000,1,4.87,0.296060606060606,0.504808,0.01,0.01,503.639393999999,997.6985,0.0320469723661826,0.0320469723661826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.08,851.826745999998,957.3628,1,0.889057,0.019364,0.015181,0.0494644162592223,0.052098050308981,51.81,23.76,10.46,4.4,1.68,0.82,0.37,0.12,0.09,0.07,0.06,0,0,0,0,0,0,0,0,0,40.3357,0,0.015181,0.01,0.019364,0.01
"5",0.015,100,0,1,100,0,1000,1000,1,4.8,0.181818181818182,0.506272,0.016089,0.01838,505.131755000001,997.7441,0.0358696869161634,0.0366020611344696,60.89,19.35,3.34,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.75,837.201911,960.6577,1,0.871341,0.103378,0.021601,0.0684503142317365,0.115737140735689,116.01,123.19,122.63,115.69,102.38,85.71,69.09,52.97,39.98,29.29,21.75,15.6,11.22,8.31,6.02,4.41,3.33,2.52,1.56,1,37.0864,0,0.021601,0.016089,0.103378,0.01838
"6",0.015,100,0,50,100,0,1000,1000,1,7.65,0.714646464646465,0.507598,0.01,0.01,505.532489,995.9358,0.0336637909379339,0.0336637909379339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.43,831.875772,958.1957,1,0.867405,0.028868,0.017328,0.0517436945164204,0.056282948786942,73.28,46.64,29.34,17.95,10.15,5.58,2.83,1.53,0.76,0.41,0.15,0.04,0.02,0,0,0,0,0,0,0,37.7401,0,0.017328,0.01,0.028868,0.01
"7",0.02,100,0,1,100,0,1000,1000,1,6.09,0.284747474747475,0.504767,0.018815,0.024636,503.147142000002,996.7818,0.044057264635275,0.0466152963060401,88.15,43.36,12.41,2.13,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.38,824.570311000001,961.9524,1,0.857168,0.279601,0.025188,0.0760257163414499,0.174850542427447,151.88,211.11,273.35,320.68,337.9,324.08,282.63,228.16,175.02,127.81,89.62,61.08,39.88,26.76,17.27,10.78,6.62,4.15,2.76,2.04,34.8294,0,0.025188,0.018815,0.279601,0.024636
"8",0.02,100,0,50,100,0,1000,1000,1,12.48,1.70666666666667,0.507063,0.010055,0.010055,503.495411000001,992.9586,0.0362021109769442,0.0362021109769442,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.92,817.839803,957.8077,1,0.852952,0.048118,0.019489,0.052370997459499,0.0572490081190492,94.89,77.13,60.66,44.97,33.43,23.78,16.84,11.68,7.58,4.6,2.87,1.43,0.71,0.33,0.16,0.07,0.04,0.01,0,0,35.1509000000001,0,0.019489,0.010055,0.048118,0.010055
"9",0.025,100,0,1,100,0,1000,1000,1,8.08,0.59959595959596,0.504238,0.021233,0.031772,501.914121,995.3788,0.0497592455971802,0.0552942629127399,112.33,70.6,27.49,6.32,0.9,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.13,820.262532000001,961.2554,1,0.853108,0.492166,0.02877,0.0807823720840845,0.264893262072882,187.7,318.59,487.4,645.18,718.92,678.72,555.52,408.11,284.35,191.38,125.55,80.78,52.17,33.19,20.34,12.99,8.71,5.48,3.13,1.68,34.1233999999999,0,0.02877,0.021233,0.492166,0.031772
"10",0.025,100,0,50,100,0,1000,1000,1,20.15,4.97727272727273,0.508435,0.01048,0.01048,502.512019999999,988.3325,0.0376847179091255,0.0376847179091255,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.22,793.700285999999,957.3322,1,0.827961,0.081684,0.021564,0.0537623497448191,0.0594906614198159,115.64,110.25,103.75,93.04,78.52,62.09,47.59,34.02,24.16,16.52,11.29,7.83,5.15,3.28,1.95,1.03,0.49,0.2,0.04,0,31.0003,0,0.021564,0.01048,0.081684,0.01048
"11",0.03,100,0,1,100,0,1000,1000,1,10.85,0.997474747474748,0.503962,0.023676,0.041782,500.614624,993.3511,0.0574566616268479,0.0682222697716371,136.76,108.92,51.78,16.18,3.47,0.61,0.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,62.83,808.884606,961.2252,1,0.841212,0.645684,0.032081,0.0869952361910201,0.360168473417536,220.81,431.4,735.87,1024.43,1116.71,970.95,710.31,460.56,278.52,163.56,95.05,55.01,33.52,20.6,13.54,9.29,6.13,4.05,2.53,1.5,32.1259,0,0.032081,0.023676,0.645684,0.041782
"12",0.03,100,0,50,100,0,1000,1000,1,32.85,14.0681818181818,0.502449,0.012424,0.012424,493.283465,981.7556,0.0384061646136441,0.0384061646136441,24.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.71,770.650576,956.2278,1,0.804796,0.14999,0.023487,0.0537574604036155,0.058844393905813,134.87,152.35,168.94,173.3,166.96,148.79,122.89,96.61,73.88,54.28,38.23,25.86,16.69,10.97,6.62,4.07,2.4,1.26,0.64,0.24,25.5278,0,0.023487,0.012424,0.14999,0.012424
"13",0.035,100,0,1,100,0,1000,1000,1,15.17,2.89,0.503644,0.02625,0.054908,498.625777,990.0081,0.0635564041093583,0.0811722828072308,162.5,153.62,89.92,33.21,8.23,1.44,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,62.75,800.449112,960.9893,1,0.832792,0.748442,0.035525,0.0932264408061444,0.478891136754694,255.25,570.05,1071.63,1515.89,1511.7,1110.75,664.47,354.17,177.32,84.46,37.96,16.89,7.77,3.51,1.56,0.69,0.29,0.06,0,0,29.0188000000001,0,0.035525,0.02625,0.748442,0.054908
"14",0.035,100,0,50,100,0,1000,1000,1,49.19,5.48878787878788,0.500182,0.016194,0.016194,487.12865,973.9086,0.0390087656935782,0.0390087656935782,61.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.97,742.675676999999,953.7868,1,0.77738,0.236202,0.025672,0.0545576446425112,0.0610838331948635,156.72,201.24,253.26,284.47,290.94,268.7,225.92,177.39,131.15,92.55,63.02,42.01,27.88,18.42,11.94,7.31,4.38,2.4,1.35,0.58,20.1218,0,0.025672,0.016194,0.236202,0.016194
"15",0.04,100,0,1,100,0,1000,1000,1,21.11,5.21,0.50098,0.028839,0.070433,493.630380000001,985.3278,0.070429565905923,0.0979386128096389,188.39,205.42,134.75,55.9,15.9,3.4,0.51,0.06,0,0,0,0,0,0,0,0,0,0,0,0,63.29,788.588871000002,960.2596,1,0.821074,0.815251,0.03882,0.0990611311464129,0.58972378770085,288.2,714.4,1418.96,1951.59,1739.14,1072.69,521.86,218.01,83.08,29.27,9.98,3.34,1.21,0.5,0.22,0.06,0,0,0,0,25.0682,0,0.03882,0.028839,0.815251,0.070433
"16",0.04,100,0,50,100,0,1000,1000,1,53.76,3.51757575757576,0.510107,0.01972,0.019743,492.324549999999,965.0838,0.0399116141524389,0.0399116141524389,97.2,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.55,714.471254000001,951.1492,1,0.75005,0.354815,0.028004,0.0585744783950748,0.0742727591298989,180.04,266.58,380.52,466.9,494.64,452.6,369.55,277.67,197.16,135.32,90.24,57.75,35.33,20.33,11.18,5.8,3.1,1.63,0.91,0.58,13.9346,0,0.028004,0.01972,0.354815,0.019743
"17",0.045,100,0,1,100,0,1000,1000,1,30.13,10.740505050505,0.502554,0.031297,0.08709,491.537432,978.0659,0.0758446810254451,0.114027501014294,212.97,259.49,186.31,81.17,24.16,5.73,0.95,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,65.77,783.233101999999,958.3628,1,0.817273,0.852819,0.042276,0.103051215555461,0.714080510822779,322.76,879.12,1811.88,2314.78,1738.04,865.63,331.17,111.77,36.81,11.76,3.43,0.8,0.19,0.05,0,0,0,0,0,0,19.7031000000001,0,0.042276,0.031297,0.852819,0.08709
"18",0.045,100,0,50,100,0,1000,1000,1,67.01,29.8887878787879,0.507441,0.021488,0.02263,483.283165,952.5327,0.0530844946012025,0.0530844946012025,114.88,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.48,698.256438999999,946.5348,1,0.736965,0.501994,0.031314,0.0680657472417722,0.117649253977039,213.14,369.58,591.59,772.19,818.21,712.52,537.19,363.07,226.44,133.18,77.29,44.06,26.01,15.3,9.21,5.24,3.01,1.67,0.73,0.26,5.99789999999996,0,0.031314,0.021488,0.501994,0.02263
"19",0.05,100,0,1,100,0,1000,1000,1,43.56,34.1276767676768,0.5061,0.034042,0.108725,489.39879,967.0698,0.0834808252889819,0.135261783485215,240.42,328.82,256.02,116.79,35.39,8.07,1.41,0.32,0.01,0,0,0,0,0,0,0,0,0,0,0,68.5,769.575049000001,956.0395,1,0.805002,0.884459,0.045123,0.108888265611214,0.799463112225464,351.23,1026.49,2165.58,2579.55,1644.1,671.48,218.07,62.97,17.65,4.99,1.62,0.6,0.2,0.05,0.01,0,0,0,0,0,11.0303,0,0.045123,0.034042,0.884459,0.108725
"20",0.05,100,0,50,100,0,1000,1000,1,97.69,54.1150505050505,0.508968,0.025322,0.031952,475.571406,934.5185,0.063161885423242,0.063161885423242,153.22,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.45,684.366355,940.3406,1,0.727385,0.605904,0.034268,0.0764126608707178,0.154935048427411,242.68,467.71,806.18,1082.27,1109.17,885.77,590.53,354.39,198.06,106.29,56.54,29.22,15.11,7.49,3.88,1.86,0.97,0.48,0.25,0.12,-5.82209999999998,0,0.034268,0.025322,0.605904,0.031952
"21",0.055,100,0,1,100,0,1000,1000,1,65.63,75.2859595959596,0.504995,0.036398,0.128616,479.021222,948.6294,0.0889516390936445,0.156457265086384,263.98,398.34,324.94,144.54,43.05,9.46,1.61,0.22,0.02,0,0,0,0,0,0,0,0,0,0,0,72.72,753.683583,952.7253,1,0.791372,0.913618,0.048617,0.113684233012629,0.906760578162454,386.17,1214.99,2574.87,2754.82,1445.05,484.52,132.4,32.16,8.05,2.36,0.56,0.15,0.06,0.02,0,0,0,0,0,0,-4.09589999999992,0,0.048617,0.036398,0.913618,0.128616
"22",0.055,100,0,50,100,0,1000,1000,1,121.06,168.703434343434,0.50733,0.027688,0.038805,462.456469,911.5028,0.0680237332873044,0.0728324319787476,176.88,100.35,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.15,661.093544,932.1568,1,0.708727,0.684266,0.037185,0.0842310314697675,0.216383376598979,271.85,579.75,1051.3,1405.23,1341.83,962.79,564.79,291.62,142.89,69.02,33.32,15.77,7.12,2.99,1.35,0.65,0.23,0.12,0.04,0,-20.654,0,0.037185,0.027688,0.684266,0.038805
"23",0.06,100,0,1,100,0,1000,1000,1,96.07,206.79303030303,0.501922,0.039187,0.150884,463.241162,922.9507,0.0946733994247984,0.177929444876281,291.87,478.65,400.87,175.02,48.96,11.1,2.08,0.28,0.01,0,0,0,0,0,0,0,0,0,0,0,77.93,739.883595,948.2888,1,0.780645,0.924703,0.051463,0.118647308546605,0.982585469883313,414.63,1373.77,2905.82,2807.69,1232.95,328.58,68.17,13.02,2.19,0.2,0.01,0,0,0,0,0,0,0,0,0,-25.3381000000001,0,0.051463,0.039187,0.924703,0.150884
"24",0.06,100,0,50,100,0,1000,1000,1,164.44,264.329696969697,0.508472,0.030917,0.051084,445.602528,876.772,0.0782128766248031,0.0902571492182118,209.17,163.77,36.65,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.44,647.169198,921.6291,1,0.701499,0.755122,0.040241,0.0882198593904305,0.248180644669094,302.41,710.63,1375.9,1807.83,1542.23,929.21,454.43,195.78,79.26,31.92,12.75,5.3,2.22,0.84,0.36,0.11,0.04,0,0,0,-44.8571000000001,0,0.040241,0.030917,0.755122,0.051084
"25",0.065,100,0,1,100,0,1000,1000,1,147.55,535.74494949495,0.505839,0.041714,0.170653,444.688396,879.1379,0.100760818822445,0.20382205400016,317.14,553.88,469.06,198.05,55.18,11.46,1.64,0.12,0,0,0,0,0,0,0,0,0,0,0,0,86.67,721.518038,940.9728,1,0.767257,0.938928,0.054918,0.125834497541995,1.11062248923957,449.18,1575.28,3257.22,2746.66,985.95,222.21,42.83,8.32,1.44,0.17,0.02,0,0,0,0,0,0,0,0,0,-61.8348999999999,0,0.054918,0.041714,0.938928,0.170653
"26",0.065,100,0,50,100,0,1000,1000,1,226.97,541.504141414141,0.505777,0.033993,0.066362,417.330983,825.1193,0.0856950208425146,0.109739831704238,239.93,233.33,80.42,9.61,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.46,634.122877,908.3115,1,0.697278,0.823695,0.043936,0.0938598071028488,0.343185416227544,339.36,904.83,1828.05,2233.2,1598.71,778.28,303.53,104.94,32.32,9.86,2.98,0.72,0.15,0.02,0,0,0,0,0,0,-83.1922000000001,0,0.043936,0.033993,0.823695,0.066362
"27",0.07,100,0,1,100,0,1000,1000,1,238.5,1487.72727272727,0.506076,0.04431,0.191206,405.164776,800.0529,0.106749639406882,0.231069534538562,343.1,632.36,539.99,221.17,60.62,12.29,2.25,0.26,0.02,0,0,0,0,0,0,0,0,0,0,0,98.81,704.978947,930.8133,1,0.757821,0.951232,0.057934,0.129517731126462,1.21206031955803,479.34,1774.99,3599.65,2630.92,768.31,138.23,18.96,1.76,0.15,0.01,0,0,0,0,0,0,0,0,0,0,-130.7604,0,0.057934,0.04431,0.951232,0.191206
"28",0.07,100,0,50,100,0,1000,1000,1,318.32,1337.02787878788,0.506841,0.037094,0.082527,379.037968,747.8785,0.0922587537406268,0.13374070971951,270.94,300.88,128.89,22.49,2.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.39,618.482687,891.8322,1,0.692193,0.869918,0.047964,0.105263354818283,0.563682641095808,379.64,1113.01,2320.42,2561.77,1469.71,538.8,160.5,42.82,9.88,2.17,0.4,0.05,0.01,0,0,0,0,0,0,0,-143.9537,0,0.047964,0.037094,0.869918,0.082527
"29",0.075,100,0,1,100,0,1000,1000,1,358.61,3239.08878787879,0.505832,0.046579,0.210038,351.527764,695.0768,0.111132994263855,0.249267864886635,365.79,709.36,605.46,238.3,63.77,14.38,2.63,0.52,0.12,0.04,0.01,0,0,0,0,0,0,0,0,0,116.07,692.571516,916.5897,1,0.756041,0.963353,0.06139,0.136828364051429,1.32278769713527,513.9,1983.47,3867.36,2460.54,599.75,93.48,12.85,1.94,0.23,0.01,0,0,0,0,0,0,0,0,0,0,-221.5129,0,0.06139,0.046579,0.963353,0.210038
"30",0.075,100,0,50,100,0,1000,1000,1,451.59,3292.70898989899,0.509336,0.040014,0.104334,322.041755,633.0742,0.100419676035996,0.165228747118473,300.14,393.74,200.88,43.51,4.79,0.27,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,182.29,605.870629,872.356,1,0.692779,0.900601,0.051157,0.111780307722119,0.714183159858069,411.57,1288.93,2671.89,2674.34,1309.59,411.1,105.46,25.15,6.11,1.45,0.34,0.07,0.01,0,0,0,0,0,0,0,-239.2818,0,0.051157,0.040014,0.900601,0.104334
"31",0.08,100,0,1,100,0,1000,1000,1,565.72,9339.8804040404,0.505339,0.048584,0.222947,259.076802,513.1198,0.115448707784981,0.267247645933654,385.84,774.39,648.43,242.09,62.95,13.56,2,0.2,0.01,0,0,0,0,0,0,0,0,0,0,0,140.74,670.643106000001,895.4057,1,0.749297,0.968265,0.064574,0.14243492102961,1.39006137673016,545.74,2181.18,4097.58,2247.22,448.21,57.17,5.15,0.35,0.04,0.01,0,0,0,0,0,0,0,0,0,0,-382.2859,0,0.064574,0.048584,0.968265,0.222947
"32",0.08,100,0,50,100,0,1000,1000,1,668.07,10164.4293939394,0.502045,0.042876,0.124869,222.463491,444.1003,0.107526865701326,0.19626418869422,328.76,479.31,267.44,63.32,8.8,1.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,214.6,586.942759999999,846.1657,1,0.691105,0.920291,0.05464,0.120450380200677,0.881436502521655,446.4,1497.05,3080.67,2691.76,1053.95,262.93,56.03,11.32,2.29,0.44,0.07,0,0,0,0,0,0,0,0,0,-402.0654,0,0.05464,0.042876,0.920291,0.124869
"33",0.085,100,0,1,100,0,1000,1000,0.8143,799.098591549296,12837.4901408451,0.41153,0.0575647023559239,0.21043347301936,124.485559,246.8615,0.122876101316339,0.299681942737016,315.66,646.46,519.02,172.77,38.68,7.62,1.29,0.15,0,0,0,0,0,0,0,0,0,0,0,0,169.67,650.664877999999,870.7168,1,0.74729,0.976294,0.068417,0.149214038157456,1.50607331689596,584.17,2451.63,4346.85,1948.54,299.84,29.13,2.45,0.31,0.02,0,0,0,0,0,0,0,0,0,0,0,-623.8553,-0.1857,0.068417,0.0575647023559239,0.976294,0.21043347301936
"34",0.085,100,0,50,100,0,1000,1000,0.7212,873.392857142857,7558.97012987013,0.365916,0.0553682632724012,0.132239678975451,99.36076,196.5617,0.115859790694262,0.237093839879429,226.37,341.52,200.87,54.91,10.11,1.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,259.28,564.246124999999,810.5103,1,0.692237,0.941401,0.059135,0.12868352588371,1.09577683599822,491.35,1782.21,3557.5,2562.45,751.49,141.91,23.21,3.53,0.35,0.01,0,0,0,0,0,0,0,0,0,0,-613.9486,-0.2788,0.059135,0.0553682632724012,0.941401,0.132239678975451
